,Unnamed: 0,物資名,理想量,現在の量,TorF,1在庫を消費する客数,前回発注数,前回発注日,前回発注日からの客数,更新日
0,0,ﾍﾟｰﾊﾟｰﾀｵﾙ ﾚｷﾞｭﾗｰ 200枚入　別単位あり,20.0,5.0,True,100,,,100,
1,1,ﾎﾟﾘ手袋Ｓ　外ｴﾝﾎﾞｽﾀｲﾌﾟ透明　別単位ｱﾘ,1.0,8.0,True,100,,,100,
2,2,ﾎﾟﾘ手袋Ｍ外ｴﾝﾎﾞｽﾀｲﾌﾟ透明　別単位ｱﾘ,1.0,19.0,False,100,,,100,
3,3,ポリ規格袋10号0.03*180*270MM 100枚,10.0,38.0,False,100,,,70,
4,4,ポリ規格袋15号0.03*300*450MM 100枚,10.0,10.0,False,100,,,70,
5,5,WジッパーフリーザーバッグL　10枚入,5.0,4.0,False,100,,,70,
6,6,WジッパーフリーザーバッグM　15枚入,5.0,3.0,False,100,,,70,
7,7,WジッパーフリーザーバッグS　20枚入,5.0,4.0,False,100,,,70,
8,8,カウンタークロス　厚手　グリーン80枚,1.0,1.0,False,100,,,70,
9,9,カウンタークロス　厚手　ホワイト,1.0,1.0,False,100,,,70,
10,10,カウンタークロス　厚手　青,1.0,1.0,False,100,,,70,
11,11,ｸｯｷﾝｸﾞｼｰﾄ 業務用クックパーEG,8.0,6.0,False,100,,,70,
12,12,グリドルパッド高温用　10枚入,2.0,1.0,False,100,,,70,
13,13,おそうじ消しゴム　7×11×H4cm,5.0,5.0,False,100,,,70,
14,14,グリストネット　M　10枚入,5.0,4.0,False,100,,,70,
15,15,ヘアーネット　Mサイズ　100枚入,1.0,1.0,False,100,,,70,
16,16,サーマルロール　80×80×紙管巾12mm,5.0,4.0,False,100,,,70,
17,17,コーヒーフィルター　25cm1000枚入,1.0,1.0,False,100,,,70,
18,18,ランチ旗（アメリカ）　200本入,1.0,0.0,False,100,,,70,
19,19,ニトリル手袋ブルー　Ｓ　粉無　１００枚,10.0,6.0,False,100,,,70,
20,20,ニトリル手袋ブルー　Ｍ　粉無　１００枚,10.0,7.0,False,100,,,70,
21,21,受）救急絆創膏ブルーバンテージ,1.0,1.0,False,100,,,70,
