,物資名,理想量,現在の量,TorF,1在庫を消費する客数,前回発注数,前回発注日,前回発注日からの客数,更新日
0,タオル,20,5,TRUE,100,,,100,
1,カップ,1,8,TRUE,100,,,100,
2,ペーパー,1,19,TRUE,100,,,100,
3,例,10,38,TRUE,100,,,70,
4,例,10,38,TRUE,100,,,70,
5,例,10,38,TRUE,100,,,70,
6,例,10,38,TRUE,100,,,70,
7,例,10,38,TRUE,100,,,70,
8,例,10,38,TRUE,100,,,70,
9,例,10,38,TRUE,100,,,70,
10,例,10,38,TRUE,100,,,70,
11,例,10,38,TRUE,100,,,70,
12,例,10,38,TRUE,100,,,70,
13,例,10,38,TRUE,100,,,70,
14,例,10,38,TRUE,100,,,70,
15,例,10,38,TRUE,100,,,70,
16,例,10,38,TRUE,100,,,70,
17,例,10,38,TRUE,100,,,70,
18,例,10,38,TRUE,100,,,70,
19,例,10,38,TRUE,100,,,70,
20,例,10,38,TRUE,100,,,70,
21,例,10,38,TRUE,100,,,70,
22,例,10,38,TRUE,100,,,70,
23,例,10,38,TRUE,100,,,70,
24,例,10,38,TRUE,100,,,70,
25,例,10,38,TRUE,100,,,70,
26,例,10,38,TRUE,100,,,70,
27,例,10,38,TRUE,100,,,70,
28,例,10,38,TRUE,100,,,70,
29,例,10,38,TRUE,100,,,70,
30,例,10,38,TRUE,100,,,70,
31,例,10,38,TRUE,100,,,70,
32,例,10,38,TRUE,100,,,70,
33,例,10,38,TRUE,100,,,70,
34,例,10,38,TRUE,100,,,70,
35,例,10,38,TRUE,100,,,70,
36,例,10,38,TRUE,100,,,70,
37,例,10,38,TRUE,100,,,70,
38,例,10,38,TRUE,100,,,70,
39,例,10,38,TRUE,100,,,70,
40,例,10,38,TRUE,100,,,70,
41,例,10,38,TRUE,100,,,70,
42,例,10,38,TRUE,100,,,70,
43,例,10,38,TRUE,100,,,70,
44,例,10,38,TRUE,100,,,70,
45,例,10,38,TRUE,100,,,70,
46,例,10,38,TRUE,100,,,70,
47,例,10,38,TRUE,100,,,70,
48,例,10,38,TRUE,100,,,70,
49,例,10,38,TRUE,100,,,70,
50,例,10,38,TRUE,100,,,70,
51,例,10,38,TRUE,100,,,70,
52,例,10,38,TRUE,100,,,70,
53,例,10,38,TRUE,100,,,70,
54,例,10,38,TRUE,100,,,70,
55,例,10,38,TRUE,100,,,70,
56,例,10,38,TRUE,100,,,70,
57,例,10,38,TRUE,100,,,70,
58,例,10,38,TRUE,100,,,70,
59,例,10,38,TRUE,100,,,70,
60,例,10,38,TRUE,100,,,70,
61,例,10,38,TRUE,100,,,70,
62,例,10,38,TRUE,100,,,70,
63,例,10,38,TRUE,100,,,70,
64,例,10,38,TRUE,100,,,70,
65,例,10,38,TRUE,100,,,70,
67,例,10,38,TRUE,100,,,70,
68,例,10,38,TRUE,100,,,70,
