発注先企業コード,発注先企業名,発注先業態コード,発注先業態,納品先組織コード,納品先組織名,納品先部門コード,納品先部門名,納品書番号,発注番号,行番号,分納番号,検収状態区分値,検収状態名称,状態区分値,状態名称,発注区分値,発注区分名称,自社商品コード,自社商品名,発注数,出荷数,単位,納品日,出荷日,検収日,単価(外税),金額(外税),作成日,作成時間,勘定科目コード,勘定科目名,入数,発注日,発注締切日,商品分類コード,商品分類名,請求先コード,請求先名,発注部門コード,発注部門名,請求先部門コード,請求先部門名,ログインID,発注者氏名,消費税率,出荷時変更前単位名称,出荷時変更前単価(外税),出荷時変更前金額(外税),適用税率区分
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23494618","H0001148079","1","1","1","検収済","'0","通常","'0","Web発注","10012","ﾄﾊﾟﾂｸ規格袋15号","6","6","冊","2019/08/13","2019/08/12","2019/09/03","259","1554","2019/08/13","'08:49:00","","連携時作成","100","2019/08/12","2019/08/12 09:00:00","'010","ｷｯﾁﾝ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23494618","H0001148079","2","1","1","検収済","'0","通常","'0","Web発注","10029","グリドルパッド高温用　10枚入","1","1","箱","2019/08/13","2019/08/12","2019/09/03","3200","3200","2019/08/13","'08:49:00","","連携時作成","10","2019/08/12","2019/08/12 09:00:00","'010","ｷｯﾁﾝ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23494618","H0001148079","3","1","1","検収済","'0","通常","'0","Web発注","10097","ニトリル手袋ブルー　Ｓ　粉無　１００枚","5","5","箱","2019/08/13","2019/08/12","2019/09/03","460","2300","2019/08/13","'08:49:00","","連携時作成","100","2019/08/12","2019/08/12 09:00:00","'010","ｷｯﾁﾝ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23494618","H0001148079","4","1","1","検収済","'0","通常","'0","Web発注","10098","ニトリル手袋ブルー　Ｍ　粉無　１００枚","5","5","箱","2019/08/13","2019/08/12","2019/09/03","460","2300","2019/08/13","'08:49:00","","連携時作成","100","2019/08/12","2019/08/12 09:00:00","'010","ｷｯﾁﾝ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23494618","H0001148079","5","1","1","検収済","'0","通常","'0","Web発注","10138","受）救急絆創膏ブルーバンテージ","1","1","箱","2019/08/13","2019/08/12","2019/09/03","1688","1688","2019/08/13","'08:49:00","","連携時作成","200","2019/08/12","2019/08/12 09:00:00","'010","ｷｯﾁﾝ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23494618","H0001148079","6","1","1","検収済","'0","通常","'0","Web発注","10157","ハイラップＳVC30CMX100M 別単位あり","3","3","本","2019/08/13","2019/08/12","2019/09/03","175","525","2019/08/13","'08:49:00","","連携時作成","1","2019/08/12","2019/08/12 09:00:00","'010","ｷｯﾁﾝ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23494618","H0001148079","7","1","1","検収済","'0","通常","'0","Web発注","20089","クリーンカツプ　６０ＴＣＬ　100個入","3","3","袋","2019/08/13","2019/08/12","2019/09/03","215","645","2019/08/13","'08:49:00","","連携時作成","100","2019/08/12","2019/08/12 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23494618","H0001148079","8","1","1","検収済","'0","通常","'0","Web発注","20289","マドラースプーン　黒　５００本","1","1","袋","2019/08/13","2019/08/12","2019/09/03","1650","1650","2019/08/13","'08:49:00","","連携時作成","500","2019/08/12","2019/08/12 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23494618","H0001148079","9","1","1","検収済","'0","通常","'0","Web発注","20316","おしぼり　平185*203MM","2","2","Ｃ","2019/08/13","2019/08/12","2019/09/03","4500","9000","2019/08/13","'08:49:00","","連携時作成","2000","2019/08/12","2019/08/12 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23494618","H0001148079","10","1","1","検収済","'0","通常","'0","Web発注","20327","ﾆｭｰﾌﾟﾛﾏｯｸｽプラカップ Sｻｲｽﾞ(BIP362D)","20","20","袋","2019/08/13","2019/08/12","2019/09/03","400","8000","2019/08/13","'08:49:00","","連携時作成","50","2019/08/12","2019/08/12 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23494619","H0001148079","11","1","1","検収済","'0","通常","'0","Web発注","20348","紙コップ５オンス白100個入　別単位ｱﾘ","10","10","袋","2019/08/13","2019/08/12","2019/09/03","148","1480","2019/08/13","'08:49:00","","連携時作成","100","2019/08/12","2019/08/12 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23494619","H0001148079","12","1","1","検収済","'0","通常","'0","Web発注","20532","ｸﾗﾌﾄ無地厚手ﾜｯｸｽﾍﾟｰﾊﾟｰ22X30CM 250枚","5","5","袋","2019/08/13","2019/08/12","2019/09/03","1438","7190","2019/08/13","'08:49:00","","連携時作成","1","2019/08/12","2019/08/12 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23494619","H0001148079","13","1","1","検収済","'0","通常","'0","Web発注","20542","ＪＳ　バーガーＢＯＸ　本体 １００枚","1","1","Ｃ","2019/08/13","2019/08/12","2019/09/03","4419","4419","2019/08/13","'08:49:00","","連携時作成","100","2019/08/12","2019/08/12 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23494619","H0001148079","14","1","1","検収済","'0","通常","'0","Web発注","20594","フォーク＃１６０　黒　バラ500本入","4","4","箱","2019/08/13","2019/08/12","2019/09/03","2045","8180","2019/08/13","'08:49:00","","連携時作成","500","2019/08/12","2019/08/12 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23494619","H0001148079","15","1","1","検収済","'0","通常","'0","Web発注","20595","ナイフ＃１６０　黒　バラ　500本入","2","2","箱","2019/08/13","2019/08/12","2019/09/03","2250","4500","2019/08/13","'08:49:00","","連携時作成","500","2019/08/12","2019/08/12 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23494619","H0001148079","16","1","1","検収済","'0","通常","'0","Web発注","20659","ＳＭＴ－４００白無地　５０個(M)12OZ","2","2","袋","2019/08/13","2019/08/12","2019/09/03","425","850","2019/08/13","'08:49:00","","連携時作成","50","2019/08/12","2019/08/12 09:00:00","'020","ﾎｰﾙ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23502956","H0001149467","1","1","1","検収済","'0","通常","'0","Web発注","10026","OZクッキングシート33×35M","3","3","本","2019/08/15","2019/08/14","2019/09/03","497","1491","2019/08/15","'09:54:00","","連携時作成","1","2019/08/14","2019/08/14 09:00:00","'010","ｷｯﾁﾝ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23502956","H0001149467","2","1","1","検収済","'0","通常","'0","Web発注","10098","ニトリル手袋ブルー　Ｍ　粉無　１００枚","5","5","箱","2019/08/15","2019/08/14","2019/09/03","460","2300","2019/08/15","'09:54:00","","連携時作成","100","2019/08/14","2019/08/14 09:00:00","'010","ｷｯﾁﾝ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23502956","H0001149467","3","1","1","検収済","'0","通常","'0","Web発注","10157","ハイラップＳVC30CMX100M 別単位あり","3","3","本","2019/08/15","2019/08/14","2019/09/03","175","525","2019/08/15","'09:54:00","","連携時作成","1","2019/08/14","2019/08/14 09:00:00","'010","ｷｯﾁﾝ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23502956","H0001149467","4","1","1","検収済","'0","通常","'0","Web発注","10170","受）がんこたわし異物混入対策用１０個入","1","1","箱","2019/08/15","2019/08/14","2019/09/03","1760","1760","2019/08/15","'09:54:00","","連携時作成","10","2019/08/14","2019/08/14 09:00:00","'010","ｷｯﾁﾝ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
"'000001","オザックス株式会社","1334","オザックス（株）","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","23502956","H0001149467","5","1","1","検収済","'0","通常","'0","Web発注","10268","クッキングペーパー90枚×2R入×6ｾｯﾄ","1","1","Ｃ","2019/08/15","2019/08/14","2019/09/03","2166","2166","2019/08/15","'09:54:00","","連携時作成","6","2019/08/14","2019/08/14 09:00:00","'010","ｷｯﾁﾝ","601","J.S. BURGERS CAFE新宿店","'0000000000","調達","'0000000000","調達","601","当山","'0.08","","","","'0"
